ID,Sesion,Nivel,Intento,Fecha,Tiempo,Evento
10,3,1,1,2025-11-13,14:17:21.714,Pregunta parada
10,3,1,1,2025-11-13,14:17:23.280,Termina pregunta y decision
10,3,1,1,2025-11-13,14:17:23.281,Respuesta parada Si
10,3,1,1,2025-11-13,14:17:56.112,Empieza pregunta y decision
10,3,1,1,2025-11-13,14:17:56.113,Pregunta dormir
10,3,1,1,2025-11-13,14:17:56.645,Ubicacion enviada
10,3,1,1,2025-11-13,14:17:56.646,Ubicacion bien enviada
10,3,1,1,2025-11-13,14:17:57.812,Termina pregunta y decision
10,3,1,1,2025-11-13,14:17:57.813,Respuesta dormir Si
10,3,1,1,2025-11-13,14:17:57.813,Empieza a dormir
10,3,1,1,2025-11-13,14:18:02.845,Empieza a dormir
10,3,2,1,2025-11-13,14:18:26.124,Inicio juego
10,3,2,1,2025-11-13,14:18:26.127,Reglas incumplidas
10,3,2,1,2025-11-13,14:18:55.443,Reglas incumplidas
10,3,2,1,2025-11-13,14:18:57.210,Reglas incumplidas
10,3,2,1,2025-11-13,14:19:01.171,Reglas incumplidas
10,3,2,1,2025-11-13,14:19:05.337,Reglas incumplidas
10,3,2,1,2025-11-13,14:19:09.176,Reglas incumplidas
10,3,2,1,2025-11-13,14:19:41.042,Reglas cumplidas
10,3,2,1,2025-11-13,14:19:47.802,Planificacion guardada
10,3,2,1,2025-11-13,14:19:48.018,Hora salida seleccionada
10,3,2,1,2025-11-13,14:20:07.499,Empieza pregunta y decision
10,3,2,1,2025-11-13,14:20:07.500,Pregunta parada
10,3,2,1,2025-11-13,14:20:09.300,Termina pregunta y decision
10,3,2,1,2025-11-13,14:20:09.319,Respuesta parada No
10,3,2,1,2025-11-13,14:20:28.066,Empieza pregunta y decision
10,3,2,1,2025-11-13,14:20:28.066,Pregunta parada
10,3,2,1,2025-11-13,14:20:28.566,Ubicacion enviada
10,3,2,1,2025-11-13,14:20:28.567,Ubicacion bien enviada
10,3,2,1,2025-11-13,14:20:30.233,Termina pregunta y decision
10,3,2,1,2025-11-13,14:20:30.233,Respuesta parada Si
10,3,2,1,2025-11-13,14:20:47.397,Empieza pregunta y decision
10,3,2,1,2025-11-13,14:20:47.398,Pregunta dormir
10,3,2,1,2025-11-13,14:20:49.964,Termina pregunta y decision
10,3,2,1,2025-11-13,14:20:49.965,Respuesta dormir Si
10,3,2,1,2025-11-13,14:20:49.966,Empieza a dormir
10,3,2,1,2025-11-13,14:20:54.998,Empieza a dormir
10,3,2,1,2025-11-13,14:20:56.564,Empieza pregunta y decision
10,3,2,1,2025-11-13,14:20:56.565,Pregunta parada
10,3,2,1,2025-11-13,14:21:01.631,Termina pregunta y decision
10,3,2,1,2025-11-13,14:21:01.631,Tiempo excedido
10,3,2,1,2025-11-13,14:21:18.325,Ubicacion enviada
10,3,2,1,2025-11-13,14:21:20.418,Empieza pregunta y decision
10,3,2,1,2025-11-13,14:21:20.419,Pregunta parada
10,3,2,1,2025-11-13,14:21:22.885,Termina pregunta y decision
10,3,2,1,2025-11-13,14:21:22.886,Respuesta parada Si
10,3,2,1,2025-11-13,14:21:46.818,Ubicacion enviada
10,3,2,1,2025-11-13,14:21:46.818,Ubicacion bien enviada
10,3,2,1,2025-11-13,14:21:55.750,Empieza pregunta y decision
10,3,2,1,2025-11-13,14:21:55.750,Pregunta dormir
10,3,2,1,2025-11-13,14:21:58.517,Termina pregunta y decision
10,3,2,1,2025-11-13,14:21:58.518,Respuesta dormir Si
10,3,2,1,2025-11-13,14:21:58.518,Empieza a dormir
10,3,2,1,2025-11-13,14:22:03.550,Empieza a dormir
10,3,3,1,2025-11-13,14:33:17.624,Inicio juego
10,3,3,1,2025-11-13,14:33:17.627,Reglas incumplidas
10,3,3,1,2025-11-13,14:33:54.714,Reglas incumplidas
10,3,3,1,2025-11-13,14:33:56.080,Reglas incumplidas
10,3,3,1,2025-11-13,14:33:57.280,Reglas incumplidas
10,3,3,1,2025-11-13,14:34:05.835,Reglas incumplidas
10,3,3,1,2025-11-13,14:34:10.035,Reglas incumplidas
10,3,3,1,2025-11-13,14:34:24.746,Reglas incumplidas
10,3,3,1,2025-11-13,14:34:32.500,Reglas cumplidas
10,3,3,1,2025-11-13,14:34:37.189,Planificacion guardada
10,3,3,1,2025-11-13,14:34:37.408,Hora salida seleccionada
10,3,3,1,2025-11-13,14:34:42.582,Empieza pregunta y decision
10,3,3,1,2025-11-13,14:34:42.583,Pregunta parada
10,3,3,1,2025-11-13,14:34:44.749,Termina pregunta y decision
10,3,3,1,2025-11-13,14:34:44.768,Respuesta parada No
